fine_accuracy,fine_macro_f1,coarse_accuracy,coarse_macro_f1,bin_f1_malicious
0.9921865624874998,0.7716258257102657,0.9940265870211603,0.8007277889094311,0.9978761617941311
0.9922465632875105,0.7841715512171463,0.9940199202656036,0.8082824561526756,0.9979922284215774
0.9917932239096521,0.7651122105212582,0.9937865838211176,0.7763932996158829,0.9978927091836212
0.9921265616874891,0.7605853280145064,0.994239923198976,0.7983248196385251,0.9980265628734337
0.9918665582207763,0.764174897849837,0.9940132535100468,0.7895630970446275,0.9979112627986348
0.9922998973319644,0.7747005149206965,0.9942932572434299,0.800689544663256,0.9980468216461332
0.992106561420819,0.7705040774708007,0.9940265870211603,0.8078285857359876,0.997990870076265
0.9921998959986134,0.7644120117402099,0.9943332577767704,0.8067314435396155,0.9980548332275435
0.9920732276430353,0.7704607260404471,0.9940465872878305,0.793725051368751,0.9980396174863388
0.991846557954106,0.7681954130131138,0.9936932492433233,0.7868847306777373,0.9979855230811254
0.9921265616874891,0.7880834445110387,0.9941199215989547,0.8028024894358666,0.9980232363615258
0.9924198989319858,0.7778101038776071,0.9941332551100681,0.7987978726674922,0.9980234118165152
0.9921932292430565,0.7714978598793129,0.9941599221322951,0.7904060500102419,0.9981180344218676
0.991539887198496,0.7628928971624366,0.9933332444432592,0.7701704877525826,0.9978198767102692
0.9923532313764184,0.7888516581797893,0.994213256176749,0.8129989268584055,0.9980101506210173
0.9919598927985707,0.7696516811348588,0.9940399205322737,0.8029068592140247,0.9980134213526485
0.9917732236429819,0.7721986262305526,0.993726583021107,0.8210767479959689,0.9978771331058021
0.9919932265763544,0.7679639766202017,0.9938199175989013,0.7804364234224445,0.997905512295292
0.992259896798624,0.7720647157103583,0.994059920798944,0.7725654260348749,0.998125544155556
0.992053227376365,0.768782785975374,0.9937399165322204,0.7765191023247318,0.9979640497646359
0.9919598927985707,0.7752177333883068,0.9938665848877986,0.7911777662293115,0.997931105117613
0.9924932332431099,0.7727100442173797,0.9943332577767704,0.8004912203953723,0.9980299703983421
0.9920465606208083,0.754635010859978,0.9938865851544687,0.7851306237862966,0.9978967064334834
0.9920132268430246,0.7717547958538336,0.9939265856878091,0.7845915503514721,0.9979197196232951
0.9916798890651876,0.7660701207019426,0.9937665835544474,0.7932800965905289,0.99802152066127
0.9919132255096734,0.7671331188164325,0.9938399178655716,0.8060540100725928,0.9979900697845041
0.9921465619541594,0.7716945986799897,0.9938132508433446,0.7959674389920971,0.997934244086987
0.9920598941319217,0.7871295810240106,0.9940399205322737,0.8050236079148393,0.9981153720091773
0.9916265550207336,0.7745688771892995,0.9936332484433126,0.791811641592794,0.9977854633439504
0.9921998959986134,0.7685668620158502,0.9939599194655929,0.7856410854508298,0.9979243054275316
